Wall time,Step,Value
1720072029.785041,0,0.5155532360076904
1720072210.06391,1,0.5157620310783386
1720072376.19614,2,0.5146138072013855
1720072537.788308,3,0.5162839293479919
1720072698.691703,4,0.5162839293479919
1720072862.81249,5,0.5162839293479919
1720073027.224294,6,0.5161795616149902
1720073196.162847,7,0.5162839293479919
1720073361.318752,8,0.5162839293479919
1720073523.388049,9,0.5162839293479919
1720073683.92465,10,0.5162839293479919
1720073846.855466,11,0.5160751342773438
1720074006.748869,12,0.5160751342773438
